"int","int_label","has_participant","participant_label","has_dissociation_constant","dissociation_constant_value","dissociation_constant_error","is_confirmed_by","is_outcome_of"
"http://rdf.freebase.com/ns/m.0cx23k1","9245404-dopamine-interaction-3","http://rdf.freebase.com/ns/m.0c_3s","Dopamine","http://rdf.freebase.com/ns/m.0cx2dzx","1.6e-06","1.7e-07","http://rdf.freebase.com/ns/m.0cx2bpw","http://rdf.freebase.com/ns/m.0cw_y31"
"http://rdf.freebase.com/ns/m.0dg9mhb","7508262-cyanocobalamin-Interaction-1","http://rdf.freebase.com/ns/m.03d6_gm","Cyanocobalamin","http://rdf.freebase.com/ns/m.0dg9mv4","3.2e-07","9e-08","http://rdf.freebase.com/ns/m.0dg9mhv","http://rdf.freebase.com/ns/m.0dg9mdf"
"http://rdf.freebase.com/ns/m.0dg9mwk","7508262-cyanocobalamin-Interaction-2","http://rdf.freebase.com/ns/m.03d6_gm","Cyanocobalamin","http://rdf.freebase.com/ns/m.0dg9mvg","8.8e-08","1.9e-08","http://rdf.freebase.com/ns/m.0dg9mhv","http://rdf.freebase.com/ns/m.0dg9mdf"
"http://rdf.freebase.com/ns/m.0dghd11","17038331-codeine-Interaction-12","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfcx","1.09e-05","9.5e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd18","17038331-codeine-Interaction-13","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfd4","2.8e-05","1.42e-06","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd1h","17038331-codeine-Interaction-15","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfdn","1.15e-05","2.7e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd1q","17038331-codeine-Interaction-7","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf8q","5.8e-06","2.9e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd1y","17038331-codeine-Interaction-18","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf2g","5.77e-06","3.6e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd24","17038331-codeine-Interaction-6","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf88","4e-06","1.3e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd2c","17038331-codeine-Interaction-21","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfjy","8.18e-06","2.3e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd2l","17038331-codeine-Interaction-10","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfcd","4.37e-05","1.23e-06","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd2t","17038331-codeine-Interaction-8","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfbf","2.86e-05","9.6e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd30","17038331-codeine-Interaction-9","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfc4","1.45e-05","5.8e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd37","17038331-codeine-Interaction-23","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfl4","2.59e-06","9e-08","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd3g","17038331-codeine-Interaction-2","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf4n","7.23e-06","3.4e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd3p","17038331-codeine-Interaction-1","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf4d","2.36e-05","1.22e-06","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd3x","17038331-codeine-Interaction-5","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf80","8.88e-06","3.9e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd43","17038331-codeine-Interaction-20","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfj3","7.67e-06","2.6e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd4_","17038331-codeine-Interaction-19","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfhd","8.88e-06","3.9e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd4b","17038331-codeine-Interaction-3","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf74","7.8e-05","4.15e-06","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd4k","17038331-codeine-Interaction-17","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfmg","4.75e-06","3.2e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd4s","17038331-codeine-Interaction-4","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf7d","9.17e-06","3.3e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd56","17038331-codeine-Interaction-22","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfkw","4.55e-06","1.4e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd5f","17038331-codeine-Interaction-11","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfcn","1.91e-05","1.49e-06","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd5n","17038331-codeine-Interaction-16","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfh2","1.3e-05","6.5e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd5w","17038331-codeine-Interaction-14","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfdd","2.5e-06","6e-08","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
